player,bat_matches,innings_batted,not_out,runs,highest_inns_score,batting_average,balls_faced,strike_rate_x,hundreds_scored,fifties_scored,ducks_scored,boundary_fours,boundary_sixes,Player,bowl_matches,innings_bowled,balls,overs,maidens_earned,conceded,wicket,best_innings_bowling,bowling_average,economy_rate,strike_rate_y,four_wickets,five_wickets,best_wickets,best_runs,field_matches,innings,catches,maximum_innings_catches,catches_per_innings,wk_matches,innings_as_keeper,dismissed,caught_as_a_keeper,stumpings,maximum_dismissals_per_innings,dismissials_per_innings
BP Sharma ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.0,8.0,174.0,29.0,2.0,171.0,13.0,3/17,13.15,5.89,13.38,0.0,0.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BP Sharma (KAY),8.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,BP Sharma ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BWM Mike ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,18.0,3.0,0.0,29.0,1.0,1/29,29.0,9.66,18.0,0.0,0.0,1.0,29.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Babar Hayat ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Babar Hayat (KAY),5.0,5.0,0.0,65.0,20.0,13.0,84.0,77.38,0.0,0.0,0.0,4.0,3.0,Babar Hayat ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Basil Hameed ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,2.0,36.0,6.0,0.0,53.0,1.0,1/15,53.0,8.83,36.0,0.0,0.0,1.0,15.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Basil Hameed (CHR),2.0,2.0,1.0,3.0,2.0,3.0,6.0,50.0,0.0,0.0,0.0,0.0,0.0,Basil Hameed ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Basir Ahamad ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.0,6.0,114.0,19.0,1.0,123.0,6.0,2/22,20.5,6.47,19.0,0.0,0.0,2.0,22.0,7.0,7.0,4.0,1.0,0.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Basir Ahamad (BIK),7.0,7.0,2.0,181.0,68.0,36.2,147.0,123.12,0.0,1.0,0.0,11.0,7.0,Basir Ahamad ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bipin Khatri ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.0,7.0,108.0,18.0,1.0,133.0,9.0,3/19,14.77,7.38,12.0,0.0,0.0,3.0,19.0,7.0,7.0,4.0,1.0,0.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bipin Khatri (POA),7.0,5.0,1.0,24.0,10.0,6.0,26.0,92.3,0.0,0.0,1.0,0.0,2.0,Bipin Khatri ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAK Walton ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,9.0,4.0,4.0,0.0,1.0,0.444
CAK Walton (KAY),9.0,9.0,1.0,183.0,46.0,22.87,152.0,120.39,0.0,0.0,0.0,18.0,8.0,CAK Walton ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CB Sole ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.0,7.0,162.0,27.0,0.0,200.0,9.0,2/21,22.22,7.4,18.0,0.0,0.0,2.0,21.0,7.0,7.0,3.0,2.0,0.428,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CB Sole (BIK),7.0,6.0,1.0,35.0,14.0,7.0,27.0,129.62,0.0,0.0,1.0,2.0,3.0,CB Sole ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Adhikari ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Adhikari (LUL),2.0,1.0,0.0,14.0,14.0,14.0,16.0,87.5,0.0,0.0,0.0,2.0,0.0,D Adhikari ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Bohara ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,3.0,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Bohara (BIK),6.0,6.0,1.0,60.0,20.0,12.0,56.0,107.14,0.0,0.0,0.0,4.0,1.0,D Bohara ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Gupta ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0,4.0,66.0,11.0,0.0,104.0,3.0,3/21,34.66,9.45,22.0,0.0,0.0,3.0,21.0,5.0,5.0,1.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Gupta (LUL),5.0,2.0,2.0,5.0,5.0,0.0,4.0,125.0,0.0,0.0,0.0,1.0,0.0,D Gupta ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Kandel ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.0,5.0,96.0,16.0,0.0,87.0,7.0,3/6,12.42,5.43,13.71,0.0,0.0,3.0,6.0,6.0,6.0,1.0,1.0,0.166,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Kandel (KAG),6.0,4.0,3.0,12.0,11.0,12.0,9.0,133.33,0.0,0.0,1.0,1.0,1.0,D Kandel ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Khanal ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,4.0,1.0,0.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Khanal (KAY),9.0,9.0,0.0,116.0,53.0,12.88,140.0,82.85,0.0,1.0,2.0,9.0,4.0,D Khanal ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
